Model,rmv_inf_grad,Fold,Accuracy,Precision,Recall,F1,AUC,Uncertainty,num_epochs_trained,Acc_class_0,Acc_class_1
Eff_b2,False,5,0.8980716253443526,0.841280458671763,0.859050918146645,0.8496524240762093,0.9291621068112033,0.0626202526078189,9,0.9260226283724978,0.7920792079207921
Eff_b3,True,1,0.8960055096418733,0.8452231931979216,0.8358753629932183,0.8404111059755215,0.9150703582107557,0.05657753084869135,9,0.939077458659704,0.7326732673267327
Eff_b3,True,2,0.8980716253443526,0.8492593132544101,0.837180846021939,0.8429930795847751,0.9080273562604303,0.04418283071253888,11,0.9416884247171453,0.7326732673267327
Eff_b3,True,3,0.8953168044077136,0.837643658461007,0.8536652620875664,0.8452316504304263,0.9237391102034486,0.05577225127115802,10,0.9251523063533508,0.7821782178217822
Eff_b3,True,4,0.8960055096418733,0.8447093863452116,0.8370903670001465,0.8408078537464087,0.9277862512099774,0.04519800079389144,12,0.938207136640557,0.735973597359736
Eff_b3,True,5,0.9111570247933884,0.870794300039583,0.8551689372592612,0.862630588873773,0.9233254918181113,0.03603717821417427,14,0.9512619669277633,0.759075907590759
Eff_b3,False,1,0.9090909090909091,0.8671950471803921,0.8526484502236125,0.8596135534623441,0.9276426337150686,0.05101939782173402,11,0.9495213228894691,0.7557755775577558
Eff_b3,False,2,0.8884297520661157,0.8314884355940667,0.8298735878809813,0.8306766484307515,0.9182299430987485,0.05601905342986012,10,0.9303742384682332,0.7293729372937293
Eff_b3,False,3,0.8925619834710744,0.8361236398848202,0.8409895819869193,0.8385176059952777,0.9179714316079126,0.060308285049880096,11,0.9295039164490861,0.7524752475247525
Eff_b3,False,4,0.8898071625344353,0.8348856628041545,0.8283139018862722,0.8315286282404197,0.9034172346738591,0.056501482763985186,10,0.9338555265448216,0.7227722772277227
Eff_b3,False,5,0.9028925619834711,0.8583590584603511,0.8414419770958819,0.8494705086983918,0.9179197293097456,0.05947674653339056,9,0.9469103568320278,0.735973597359736
Eff_b4,True,1,0.8636363636363636,0.7908067860263148,0.8202828115709744,0.8037703910995837,0.9071455448416904,0.09344994690954622,14,0.8946910356832027,0.7458745874587459
Eff_b4,True,2,0.8526170798898072,0.7757571866935432,0.8084602193900852,0.7897457689049361,0.8963627433239408,0.11835435411857809,11,0.8842471714534378,0.7326732673267327
Eff_b4,True,3,0.8622589531680441,0.7891213256048788,0.8133374695171867,0.8000280952262905,0.8925080497605897,0.09724649274940819,14,0.897302001740644,0.7293729372937293
Eff_b4,True,4,0.8429752066115702,0.7644932387200428,0.8120879973114805,0.7828582822600957,0.8912786840041707,0.12394463935896105,12,0.8651000870322019,0.759075907590759
Eff_b4,True,5,0.8663911845730028,0.7956917616544945,0.8110884195469155,0.8029227720998959,0.8942889066974582,0.09778276917997171,14,0.9060052219321149,0.7161716171617162
Eff_b4,False,1,0.8526170798898072,0.775724519070904,0.8072452153831571,0.7892923791337558,0.9033885111748772,0.10760143260003988,13,0.8851174934725848,0.7293729372937293
